Student Name,Student ID,GPA,Tardies,Grade Level,Absences,Missing Assignments
Student 1,1001,3.36,2,12,14,0
Student 2,1002,2.04,10,11,2,3
Student 3,1003,2.0,5,10,9,2
Student 4,1004,2.2,0,10,0,1
Student 5,1005,2.54,0,9,9,5
Student 6,1006,2.4,2,12,14,1
Student 7,1007,2.23,3,9,7,2
Student 8,1008,1.47,1,11,6,2
Student 9,1009,2.71,5,12,15,5
Student 10,1010,0.53,3,9,0,1
Student 11,1011,0.64,4,10,2,0
Student 12,1012,3.97,8,9,10,1
Student 13,1013,2.22,7,11,2,1
Student 14,1014,2.83,7,12,13,4
Student 15,1015,0.69,0,11,2,1
Student 16,1016,1.01,9,9,5,3
Student 17,1017,3.58,3,12,10,4
Student 18,1018,1.51,3,9,9,4
Student 19,1019,3.62,8,9,2,0
Student 20,1020,1.96,3,11,3,4
Student 21,1021,4.15,4,12,4,0
Student 22,1022,3.94,2,9,15,4
Student 23,1023,3.79,1,9,0,5
Student 24,1024,2.67,8,11,15,3
Student 25,1025,1.9,2,10,7,4
Student 26,1026,3.95,1,11,2,0
Student 27,1027,1.6,3,9,12,2
Student 28,1028,2.25,3,11,7,3
Student 29,1029,3.31,7,10,5,1
Student 30,1030,0.5,9,12,15,3
Student 31,1031,3.01,3,12,15,5
Student 32,1032,0.73,8,10,2,4
Student 33,1033,1.9,1,10,3,3
Student 34,1034,2.86,6,10,8,4
Student 35,1035,3.95,3,9,7,5
Student 36,1036,4.22,0,10,9,0
Student 37,1037,3.37,4,12,9,0
Student 38,1038,3.73,9,10,15,1
Student 39,1039,4.21,8,9,15,5
Student 40,1040,3.19,8,12,3,4
Student 41,1041,1.2,8,9,12,0
Student 42,1042,0.54,6,10,5,2
Student 43,1043,1.89,5,10,5,0
Student 44,1044,0.86,0,11,6,5
Student 45,1045,1.09,9,12,12,3
Student 46,1046,0.64,0,11,5,5
Student 47,1047,2.77,4,9,11,3
Student 48,1048,2.73,0,11,3,1
Student 49,1049,0.99,3,12,4,4
Student 50,1050,2.88,0,10,12,4
Student 51,1051,3.24,5,9,14,2
Student 52,1052,1.1,7,11,11,0
Student 53,1053,0.61,9,9,4,2
Student 54,1054,3.5,3,9,13,4
Student 55,1055,3.75,5,12,11,0
Student 56,1056,0.93,7,9,6,0
Student 57,1057,1.45,2,10,4,0
Student 58,1058,3.12,3,9,5,3
Student 59,1059,1.47,0,9,13,0
Student 60,1060,3.91,0,9,14,3
Student 61,1061,4.06,1,9,10,4
Student 62,1062,2.97,1,9,5,3
Student 63,1063,2.32,7,10,15,3
Student 64,1064,1.29,4,11,8,4
Student 65,1065,3.34,5,10,5,0
Student 66,1066,1.11,5,10,10,5
Student 67,1067,2.13,9,11,11,3
Student 68,1068,0.5,2,10,6,4
Student 69,1069,2.84,7,9,7,2
Student 70,1070,1.25,6,9,7,0
Student 71,1071,2.36,1,12,13,3
Student 72,1072,2.39,9,12,14,5
Student 73,1073,3.39,2,9,0,0
Student 74,1074,1.04,4,9,8,2
Student 75,1075,2.65,3,10,14,0
Student 76,1076,2.31,3,11,10,5
Student 77,1077,3.33,2,9,1,5
Student 78,1078,2.6,3,10,6,3
Student 79,1079,1.52,8,10,5,5
Student 80,1080,3.38,7,10,0,1
Student 81,1081,3.15,9,9,1,0
Student 82,1082,1.44,0,11,12,4
Student 83,1083,2.6,4,10,12,5
Student 84,1084,1.59,4,10,0,4
Student 85,1085,2.55,1,12,3,0
Student 86,1086,3.25,8,9,1,5
Student 87,1087,3.42,3,9,15,4
Student 88,1088,2.55,7,12,8,1
Student 89,1089,1.81,5,11,14,5
Student 90,1090,3.98,7,11,1,5
Student 91,1091,2.26,0,12,1,5
Student 92,1092,2.38,4,12,14,2
Student 93,1093,1.15,2,11,5,2
Student 94,1094,3.36,5,11,1,5
Student 95,1095,3.34,5,9,1,5
Student 96,1096,1.67,7,9,2,5
Student 97,1097,1.96,8,11,4,4
Student 98,1098,1.12,1,9,0,5
Student 99,1099,3.5,0,12,4,1
Student 100,1100,1.95,2,11,11,0
Student 101,1101,3.79,1,11,11,3
Student 102,1102,2.22,4,10,14,5
Student 103,1103,2.37,9,12,1,5
Student 104,1104,0.52,3,11,5,5
Student 105,1105,2.79,1,9,6,5
Student 106,1106,2.75,7,9,11,3
Student 107,1107,4.28,9,12,8,5
Student 108,1108,1.09,5,12,5,4
Student 109,1109,1.3,8,12,5,3
Student 110,1110,2.72,6,10,14,1
Student 111,1111,2.16,7,11,4,1
Student 112,1112,0.6,5,11,6,2
Student 113,1113,4.05,10,10,3,0
Student 114,1114,2.72,10,9,2,3
Student 115,1115,2.37,8,9,10,3
Student 116,1116,0.71,4,9,0,4
Student 117,1117,0.53,7,11,10,0
Student 118,1118,3.59,10,9,5,1
Student 119,1119,2.51,10,12,3,3
Student 120,1120,2.53,0,10,4,2
Student 121,1121,2.09,9,9,9,2
Student 122,1122,1.1,2,9,8,0
Student 123,1123,1.57,6,11,1,3
Student 124,1124,4.05,6,11,9,4
Student 125,1125,1.85,1,10,15,0
Student 126,1126,3.02,2,10,11,0
Student 127,1127,3.13,10,9,13,3
Student 128,1128,2.93,3,12,11,1
Student 129,1129,3.26,0,11,9,4
Student 130,1130,1.2,3,11,2,1
Student 131,1131,2.11,7,12,9,1
Student 132,1132,3.93,3,9,11,1
Student 133,1133,4.12,9,9,5,5
Student 134,1134,1.27,3,10,2,5
Student 135,1135,3.47,10,12,11,5
Student 136,1136,1.22,7,9,9,5
Student 137,1137,2.0,10,10,7,5
Student 138,1138,1.82,4,10,0,5
Student 139,1139,0.51,8,9,15,3
Student 140,1140,3.95,8,9,3,0
Student 141,1141,2.8,1,11,5,3
Student 142,1142,3.12,9,12,8,4
Student 143,1143,0.51,2,10,1,1
Student 144,1144,3.76,2,11,4,4
Student 145,1145,1.33,3,9,14,3
Student 146,1146,1.81,8,10,5,3
Student 147,1147,2.48,8,11,4,3
Student 148,1148,3.28,2,10,6,5
Student 149,1149,0.85,2,10,7,2
Student 150,1150,4.23,7,10,13,5
Student 151,1151,1.06,9,11,3,0
Student 152,1152,1.38,10,12,14,0
Student 153,1153,2.43,3,10,14,4
Student 154,1154,2.32,3,12,12,0
Student 155,1155,3.86,10,12,10,4
Student 156,1156,1.23,4,12,8,4
Student 157,1157,2.53,2,9,15,3
Student 158,1158,3.5,6,10,3,5
Student 159,1159,1.94,4,9,8,4
Student 160,1160,3.01,1,12,10,0
Student 161,1161,2.38,5,12,11,4
Student 162,1162,3.05,9,9,12,1
Student 163,1163,2.18,2,10,10,2
Student 164,1164,2.53,3,12,6,5
Student 165,1165,1.98,4,9,11,0
Student 166,1166,3.67,0,9,12,1
Student 167,1167,3.76,2,9,6,0
Student 168,1168,1.68,7,10,15,1
Student 169,1169,0.84,9,9,1,0
Student 170,1170,1.19,0,9,1,4
Student 171,1171,1.87,8,11,2,1
Student 172,1172,2.43,3,12,8,5
Student 173,1173,0.57,2,9,8,4
Student 174,1174,3.17,6,12,5,0
Student 175,1175,2.58,5,9,7,5
Student 176,1176,3.63,6,10,10,0
Student 177,1177,3.5,9,11,1,0
Student 178,1178,3.38,0,12,6,1
Student 179,1179,3.63,8,12,9,0
Student 180,1180,1.5,8,10,15,0
Student 181,1181,3.26,5,11,5,0
Student 182,1182,1.21,0,12,10,2
Student 183,1183,0.98,10,12,4,5
Student 184,1184,3.78,4,11,15,4
Student 185,1185,2.63,8,12,7,0
Student 186,1186,0.53,10,10,8,5
Student 187,1187,1.55,10,9,5,5
Student 188,1188,3.02,9,12,14,1
Student 189,1189,1.99,3,10,0,5
Student 190,1190,2.8,4,12,1,5
Student 191,1191,2.88,5,10,8,2
Student 192,1192,4.25,5,9,3,4
Student 193,1193,3.65,9,10,15,1
Student 194,1194,1.28,4,11,3,2
Student 195,1195,3.54,10,11,5,3
Student 196,1196,2.55,10,11,6,5
Student 197,1197,3.31,2,11,5,4
Student 198,1198,1.71,10,9,0,0
Student 199,1199,3.26,6,10,14,5
Student 200,1200,4.24,7,9,11,4
Student 201,1201,1.79,5,11,4,0
Student 202,1202,2.23,10,12,8,4
Student 203,1203,2.76,4,10,2,0
Student 204,1204,3.24,2,12,15,3
Student 205,1205,0.91,6,11,1,5
Student 206,1206,2.25,9,9,14,5
Student 207,1207,3.62,8,9,0,2
Student 208,1208,3.49,7,9,6,3
Student 209,1209,1.74,2,10,14,4
Student 210,1210,2.13,9,12,8,5
Student 211,1211,4.16,0,10,12,5
Student 212,1212,2.62,10,9,0,3
Student 213,1213,3.93,5,12,11,4
Student 214,1214,1.6,0,11,2,2
Student 215,1215,3.21,0,9,11,5
Student 216,1216,1.51,7,9,12,4
Student 217,1217,1.97,3,10,3,2
Student 218,1218,2.45,4,9,0,2
Student 219,1219,2.8,1,10,11,5
Student 220,1220,3.19,6,12,4,0
Student 221,1221,2.66,7,12,0,4
Student 222,1222,2.69,8,12,15,0
Student 223,1223,2.71,5,12,13,2
Student 224,1224,1.92,3,11,3,3
Student 225,1225,1.82,6,9,8,3
Student 226,1226,2.35,0,9,11,3
Student 227,1227,1.64,9,10,14,4
Student 228,1228,3.44,0,12,10,2
Student 229,1229,1.32,2,10,5,4
Student 230,1230,4.25,10,9,9,2
Student 231,1231,2.15,4,9,15,5
Student 232,1232,3.53,8,10,10,1
Student 233,1233,2.71,2,10,2,4
Student 234,1234,4.03,7,10,7,3
Student 235,1235,3.24,2,9,12,4
Student 236,1236,2.91,6,12,11,1
Student 237,1237,2.8,5,11,6,4
Student 238,1238,1.61,2,11,14,4
Student 239,1239,2.3,0,9,4,0
Student 240,1240,2.26,10,12,4,1
Student 241,1241,1.15,5,10,13,0
Student 242,1242,2.25,4,10,0,4
Student 243,1243,1.42,3,9,0,5
Student 244,1244,3.13,2,11,11,2
Student 245,1245,3.7,8,10,6,3
Student 246,1246,3.71,9,12,1,2
Student 247,1247,3.55,4,9,4,5
Student 248,1248,3.39,0,12,10,3
Student 249,1249,2.24,1,9,6,1
Student 250,1250,3.08,10,11,8,1
Student 251,1251,0.94,8,10,11,1
Student 252,1252,1.85,3,9,6,1
Student 253,1253,1.0,8,10,15,0
Student 254,1254,3.62,2,10,5,2
Student 255,1255,1.31,10,12,14,3
Student 256,1256,1.75,7,11,9,1
Student 257,1257,1.28,0,10,3,1
Student 258,1258,1.17,1,10,11,4
Student 259,1259,2.41,9,9,2,0
Student 260,1260,1.51,0,11,12,0
Student 261,1261,4.11,0,10,15,0
Student 262,1262,3.47,3,10,10,5
Student 263,1263,3.78,3,10,12,2
Student 264,1264,1.06,7,10,7,5
Student 265,1265,3.05,0,12,11,3
Student 266,1266,4.15,1,11,6,1
Student 267,1267,0.92,4,12,7,2
Student 268,1268,1.49,2,12,14,5
Student 269,1269,2.14,7,12,5,2
Student 270,1270,3.95,6,12,13,1
Student 271,1271,1.97,9,10,11,1
Student 272,1272,2.22,7,12,4,4
Student 273,1273,2.03,7,9,8,1
Student 274,1274,2.12,3,11,8,3
Student 275,1275,4.16,7,12,0,5
Student 276,1276,1.74,4,9,5,0
Student 277,1277,2.02,6,12,15,1
Student 278,1278,2.46,7,9,10,2
Student 279,1279,1.28,0,12,6,0
Student 280,1280,1.8,6,9,14,3
Student 281,1281,4.21,6,9,5,4
Student 282,1282,1.89,5,9,9,2
Student 283,1283,4.25,0,11,13,5
Student 284,1284,1.53,7,11,7,5
Student 285,1285,2.73,1,12,2,4
Student 286,1286,3.45,5,9,12,3
Student 287,1287,2.55,0,10,12,1
Student 288,1288,1.61,8,12,2,3
Student 289,1289,3.92,2,10,0,3
Student 290,1290,2.05,5,9,14,3
Student 291,1291,2.13,8,9,8,2
Student 292,1292,1.77,3,10,13,4
Student 293,1293,1.95,2,12,3,4
Student 294,1294,3.16,2,12,1,5
Student 295,1295,1.79,10,12,11,3
Student 296,1296,1.11,1,12,10,1
Student 297,1297,1.83,2,11,10,3
Student 298,1298,1.65,4,9,5,4
Student 299,1299,4.23,1,9,15,0
Student 300,1300,2.93,9,11,12,0
Student 301,1301,2.45,7,11,0,3
Student 302,1302,1.41,9,10,11,1
Student 303,1303,2.87,2,10,6,4
Student 304,1304,3.15,2,11,12,2
Student 305,1305,1.45,2,9,1,5
Student 306,1306,3.58,1,10,10,5
Student 307,1307,4.18,0,11,7,5
Student 308,1308,2.07,2,9,6,3
Student 309,1309,2.99,0,12,12,2
Student 310,1310,3.42,8,11,11,5
Student 311,1311,0.9,4,10,14,2
Student 312,1312,2.63,1,10,2,3
Student 313,1313,4.13,3,11,14,2
Student 314,1314,2.03,6,10,3,0
Student 315,1315,3.94,1,9,11,5
Student 316,1316,1.68,10,9,5,1
Student 317,1317,2.28,10,11,5,1
Student 318,1318,4.24,2,11,3,4
Student 319,1319,4.01,0,11,10,1
Student 320,1320,2.48,0,9,7,1
Student 321,1321,4.02,10,9,7,5
Student 322,1322,2.04,8,9,6,0
Student 323,1323,4.11,8,12,3,0
Student 324,1324,3.81,8,10,2,0
Student 325,1325,3.14,3,9,1,4
Student 326,1326,0.72,9,9,5,5
Student 327,1327,2.42,6,10,13,0
Student 328,1328,1.41,7,10,2,4
Student 329,1329,3.52,3,10,15,3
Student 330,1330,1.9,10,12,9,3
Student 331,1331,3.61,3,10,0,4
Student 332,1332,0.53,1,11,1,2
Student 333,1333,3.39,6,9,3,0
Student 334,1334,0.69,10,11,9,3
Student 335,1335,3.21,3,11,2,0
Student 336,1336,3.0,3,10,11,0
Student 337,1337,3.56,8,9,5,4
Student 338,1338,3.63,8,11,6,0
Student 339,1339,1.73,6,12,13,4
Student 340,1340,3.39,4,9,10,0
Student 341,1341,3.98,4,10,10,0
Student 342,1342,3.86,3,12,2,0
Student 343,1343,1.5,10,11,0,0
Student 344,1344,3.66,2,11,11,3
Student 345,1345,1.9,7,9,4,1
Student 346,1346,4.25,8,9,5,0
Student 347,1347,0.67,4,9,2,0
Student 348,1348,1.33,0,12,4,3
Student 349,1349,4.1,1,11,0,0
Student 350,1350,3.48,1,10,4,1
Student 351,1351,3.73,5,9,3,3
Student 352,1352,4.07,9,12,8,1
Student 353,1353,2.83,7,12,4,4
Student 354,1354,3.03,4,11,3,2
Student 355,1355,3.78,7,10,14,2
Student 356,1356,1.03,9,12,11,3
Student 357,1357,2.32,7,10,8,0
Student 358,1358,3.33,7,9,3,0
Student 359,1359,3.57,5,11,12,3
Student 360,1360,1.43,5,10,2,4
Student 361,1361,0.95,7,11,8,5
Student 362,1362,0.62,9,9,6,0
Student 363,1363,2.99,1,11,8,4
Student 364,1364,3.94,5,10,12,5
Student 365,1365,1.58,8,9,6,1
Student 366,1366,2.6,7,10,6,4
Student 367,1367,2.04,1,10,4,3
Student 368,1368,1.74,9,11,9,5
Student 369,1369,4.15,0,11,0,0
Student 370,1370,2.91,0,12,12,2
Student 371,1371,2.76,0,12,10,4
Student 372,1372,2.7,5,12,10,2
Student 373,1373,2.66,4,9,5,4
Student 374,1374,3.12,3,11,2,1
Student 375,1375,1.39,3,12,8,5
Student 376,1376,2.71,3,12,11,3
Student 377,1377,2.66,10,12,6,0
Student 378,1378,2.42,3,9,1,1
Student 379,1379,1.61,8,11,2,4
Student 380,1380,4.04,0,9,3,4
Student 381,1381,1.88,5,10,13,0
Student 382,1382,4.16,5,11,10,1
Student 383,1383,2.53,1,10,6,4
Student 384,1384,1.13,7,12,6,4
Student 385,1385,3.01,1,9,5,3
Student 386,1386,3.19,3,9,11,4
Student 387,1387,1.33,0,9,15,3
Student 388,1388,1.17,9,9,2,0
Student 389,1389,2.19,4,10,5,3
Student 390,1390,0.73,5,12,3,5
Student 391,1391,3.04,8,11,10,5
Student 392,1392,1.55,4,11,7,0
Student 393,1393,2.67,10,10,6,1
Student 394,1394,3.33,7,11,4,0
Student 395,1395,2.84,10,12,15,2
Student 396,1396,3.7,9,10,9,1
Student 397,1397,0.8,8,9,1,0
Student 398,1398,4.08,5,10,10,0
Student 399,1399,0.96,2,12,6,1
Student 400,1400,3.65,5,12,3,5
Student 401,1401,1.25,9,10,15,3
Student 402,1402,3.67,1,10,5,0
Student 403,1403,0.78,7,9,15,2
Student 404,1404,2.27,0,11,7,0
Student 405,1405,3.06,0,11,4,0
Student 406,1406,1.28,3,9,12,3
Student 407,1407,2.35,2,10,4,4
Student 408,1408,4.05,9,12,15,3
Student 409,1409,1.26,10,12,3,5
Student 410,1410,3.51,2,12,8,3
Student 411,1411,2.03,5,9,9,1
Student 412,1412,3.54,4,10,4,2
Student 413,1413,0.51,10,11,6,0
Student 414,1414,1.04,10,11,12,0
Student 415,1415,2.38,6,10,13,3
Student 416,1416,2.71,7,10,0,0
